subject_id	object_id	object_id	predicate_id	predicate_id	mapping_justification	mapping_justification	match_string	mapping_tool	mapping_date
HP:0002804	NCIT:C84572	mesh:D001176	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003886	umls_ingest	2023-11-27
HP:0001541	NCIT:C2885	mesh:D001201	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003962	umls_ingest	2023-11-27
HP:0025406	NCIT:C28132	mesh:D001247	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0004093	umls_ingest	2023-11-27
HP:0002099	NCIT:C28397	mesh:D001249	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0004096	umls_ingest	2023-11-27
HP:0009592	NCIT:C60781	mesh:D001254	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0004114	umls_ingest	2023-11-27
HP:0009592	NCIT:C6958	mesh:D001254	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0004114	umls_ingest	2023-11-27
HP:0010867	NCIT:C26702	mesh:D001259	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0004134	umls_ingest	2023-11-27
HP:0100750	NCIT:C2888	mesh:D001261	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0004144	umls_ingest	2023-11-27
HP:0002621	NCIT:C35768	mesh:D050197	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0004153	umls_ingest	2023-11-27
HP:0002621	NCIT:C35771	mesh:D050197	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0004153	umls_ingest	2023-11-27
HP:0002635	NCIT:C35768	mesh:D050197	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0004153	umls_ingest	2023-11-27
HP:0002635	NCIT:C35771	mesh:D050197	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0004153	umls_ingest	2023-11-27
HP:0002305	NCIT:C116574	mesh:D001264	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0004158	umls_ingest	2023-11-27
HP:0005110	NCIT:C50466	mesh:D001281	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0004238	umls_ingest	2023-11-27
HP:0004749	NCIT:C51224	mesh:D001282	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0004239	umls_ingest	2023-11-27
HP:0001678	NCIT:C26703	mesh:D054537	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0004245	umls_ingest	2023-11-27
HP:0011709	NCIT:C71045	mesh:D006327	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0004331	umls_ingest	2023-11-27
HP:0000717	NCIT:C97161	mesh:D001321	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0004352	umls_ingest	2023-11-27
HP:0002960	NCIT:C2889	mesh:D001327	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0004364	umls_ingest	2023-11-27
HP:0002960	NCIT:C26053	mesh:D015551	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0004368	umls_ingest	2023-11-27
HP:0000027	NCIT:C80076	mesh:D053713	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0004509	umls_ingest	2023-11-27
HP:0003418	NCIT:C41830	mesh:D001416	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0004604	umls_ingest	2023-11-27
HP:0031864	NCIT:C102993	mesh:D016470	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0004610	umls_ingest	2023-11-27
HP:0100580	NCIT:C2891	mesh:D001471	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0004763	umls_ingest	2023-11-27
HP:0000708	NCIT:C35470	mesh:D001523	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0004930	umls_ingest	2023-11-27
HP:0012334	NCIT:C34420	mesh:D001651	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0005398	umls_ingest	2023-11-27
HP:0005912	NCIT:C34421	mesh:D001656	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0005411	umls_ingest	2023-11-27
HP:0007302	NCIT:C34423	mesh:D001714	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0005586	umls_ingest	2023-11-27
HP:0002836	NCIT:C123207	mesh:D001746	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0005689	umls_ingest	2023-11-27
HP:0004321	NCIT:C79849	mesh:D001747	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0005690	umls_ingest	2023-11-27
HP:0041047	NCIT:C79541	mesh:D001748	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0005694	umls_ingest	2023-11-27
HP:0009725	NCIT:C2901	mesh:D001749	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0005695	umls_ingest	2023-11-27
HP:0000011	NCIT:C79696	mesh:D001750	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0005697	umls_ingest	2023-11-27
HP:0000498	NCIT:C112183	mesh:D001762	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0005741	umls_ingest	2023-11-27
