subject_id	object_id	predicate_id	mapping_justification	match_string	mapping_tool	mapping_date
hp:HP:0100510	mesh:D001206	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003969	umls_ingest	2023-09-06
hp:HP:0012768	mesh:D001238	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0004045	umls_ingest	2023-09-06
hp:HP:0025406	mesh:D001247	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0004093	umls_ingest	2023-09-06
hp:HP:0031590	mesh:D001248	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0004095	umls_ingest	2023-09-06
hp:HP:0002099	mesh:D001249	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0004096	umls_ingest	2023-09-06
hp:HP:0012652	mesh:D001250	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0004099	umls_ingest	2023-09-06
hp:HP:0000483	mesh:D001251	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0004106	umls_ingest	2023-09-06
hp:HP:0009592	mesh:D001254	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0004114	umls_ingest	2023-09-06
hp:HP:0010867	mesh:D001259	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0004134	umls_ingest	2023-09-06
hp:HP:0100750	mesh:D001261	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0004144	umls_ingest	2023-09-06
hp:HP:0002621	mesh:D050197	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0004153	umls_ingest	2023-09-06
hp:HP:0002635	mesh:D050197	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0004153	umls_ingest	2023-09-06
hp:HP:0002305	mesh:D001264	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0004158	umls_ingest	2023-09-06
hp:HP:0005110	mesh:D001281	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0004238	umls_ingest	2023-09-06
hp:HP:0004749	mesh:D001282	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0004239	umls_ingest	2023-09-06
